year,country,slug,value,unit,qualifier,metric_type,section,subsection,method,sentence
2023,Afghanistan,afghanistan,18,individuals,,count,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"UNAMA also documented the deaths of 18 individuals while in custody of police, the so-called General Directorate for Intelligence (GDI), or prison."
2023,Afghanistan,afghanistan,58,women,,count,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"Within the 43 instances, 58 women, 274 men and two male children were lashed for a variety of offenses, including zina (defined as sexual intercourse between a man and a woman outside of marriage), running away from home, theft, homosexuality, consuming alcohol, fraud, and drug trafficking."
2023,Afghanistan,afghanistan,274,men,,count,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"Within the 43 instances, 58 women, 274 men and two male children were lashed for a variety of offenses, including zina (defined as sexual intercourse between a man and a woman outside of marriage), running away from home, theft, homosexuality, consuming alcohol, fraud, and drug trafficking."
2023,Afghanistan,afghanistan,11,percent,,percentage,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"According to a UN report covering the period between January 1, 2022, and July 31, UNAMA documented more than 1,600 human rights violations by the Taliban relating to the arrest and subsequent detention of individuals, of which 11 percent involved women."
2023,Afghanistan,afghanistan,50,percent,,percentage,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"Just less than 50 percent of these comprised acts of physical abuse and other cruel, inhuman, or degrading treatment or punishment."
2023,Afghanistan,afghanistan,12000,inmates,up to,count,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"The International Committee of the Red Cross reportedly provided three meals per day for up to 12,000 inmates in 2022."
2023,Afghanistan,afghanistan,120,prisoners,at least,count,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"While humanitarian organizations donated blankets, shawls, jackets, and socks to keep prisoners warm during the winter, the Taliban reported that at least 120 prisoners died from cold weather in January."
2023,Afghanistan,afghanistan,90,percent,,percentage,Section 1. Respect for the Integrity of the Person,e. Denial of Fair Public Trial,rules,Credible sources estimated that as much as 90 percent of all prisoners were political prisoners.
2023,Afghanistan,afghanistan,18,individuals,,count,Section 1. Respect for the Integrity of the Person,"h. Arbitrary or Unlawful Interference with Privacy, Family,",rules,"Reportedly, Taliban arrested 18 individuals under charges of having association with the NRF."
2023,Afghanistan,afghanistan,13,persons,,count,Section 1. Respect for the Integrity of the Person,i. Conflict-related Abuses,rules,"On June 8, a suicide IED attack during Ahmadi’s funeral ceremony killed 13 persons and wounded 36 others."
