year,country,slug,value,unit,qualifier,metric_type,section,subsection,method,sentence
2023,Afghanistan,afghanistan,62,percent,,percentage,Section 1. Respect for the Integrity of the Person,i. Conflict-related Abuses,rules,"Killings: On August 11, the Armed Conflict Location and Event Data Project (ACLED) issued a report recording more than 1,000 incidents of violence targeting civilians by the Taliban between their takeover on August 15, 2021, and June 30, accounting for 62 percent of all attacks on civilians in the country."
2023,Afghanistan,afghanistan,1000,incidents,more than,count,Section 1. Respect for the Integrity of the Person,i. Conflict-related Abuses,rules,"Killings: On August 11, the Armed Conflict Location and Event Data Project (ACLED) issued a report recording more than 1,000 incidents of violence targeting civilians by the Taliban between their takeover on August 15, 2021, and June 30, accounting for 62 percent of all attacks on civilians in the country."
2023,Afghanistan,afghanistan,69,boys,,count,Section 1. Respect for the Integrity of the Person,i. Conflict-related Abuses,rules,The report also stated that Taliban security forces detained 69 boys for alleged association with the NRF.
2023,Afghanistan,afghanistan,80,percent,more than,percentage,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"In early August, Reporters without Borders stated that more than two-thirds of the 12,000 journalists in the country had lost their jobs since August 2021, including more than 80 percent of women journalists who forcibly had to leave their jobs."
2023,Afghanistan,afghanistan,12000,journalists,,count,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"In early August, Reporters without Borders stated that more than two-thirds of the 12,000 journalists in the country had lost their jobs since August 2021, including more than 80 percent of women journalists who forcibly had to leave their jobs."
2023,Afghanistan,afghanistan,19,arrest,,count,Section 2. Respect for Civil Liberties,b. Freedoms of Peaceful Assembly and Association,rules,"Parsi’s detention followed the Taliban’s September 19 arrest of Neda Parwani, a fellow member of Parsi’s protest movement, her husband and child."
2023,Afghanistan,afghanistan,60,girls,,count,Section 2. Respect for Civil Liberties,d. Freedom of Movement and the Right to Leave the Country,rules,"On August 23, media outlets reported that the Taliban prevented 60 girls from traveling to Dubai to go to school on scholarship even though the girls had passports, visas, proof of scholarship, and accompaniment by a mahram."
2023,Afghanistan,afghanistan,95,percent,,percentage,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"As of August 1, UNHCR documented 8,029 Afghan refugees voluntarily returned to Afghanistan during the year (95 percent from Pakistan, 4 percent from Iran and 1 percent from other countries)."
2023,Afghanistan,afghanistan,4,percent,,percentage,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"As of August 1, UNHCR documented 8,029 Afghan refugees voluntarily returned to Afghanistan during the year (95 percent from Pakistan, 4 percent from Iran and 1 percent from other countries)."
2023,Afghanistan,afghanistan,1,percent,,percentage,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"As of August 1, UNHCR documented 8,029 Afghan refugees voluntarily returned to Afghanistan during the year (95 percent from Pakistan, 4 percent from Iran and 1 percent from other countries)."
2023,Afghanistan,afghanistan,10,women,,count,Section 6. Discrimination and Societal Abuses,,rules,"According to the report, 10 women employees were present in the prisons during the daytime performing tasks such as physical searches, cleaning, and general prison duties."
2023,Afghanistan,afghanistan,90,women,,count,Section 6. Discrimination and Societal Abuses,,rules,"Out of the 90 women imprisoned in Jawzjan, Faryab, and Samangan, 16 of them reportedly became pregnant because of repeated rape and were forced to undergo abortions in local hospitals."
2023,Afghanistan,afghanistan,48,women,,count,Section 6. Discrimination and Societal Abuses,,rules,"Over the past year, the Taliban had reportedly discreetly brought 48 women to the Faryab, Samangan, and Jawzjan hospitals to receive treatment for severe bleeding because of physical abuse and sexual assault."
2023,Afghanistan,afghanistan,90,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"As a result, she said, 90 percent of young women respondents to a survey reported bad or very bad mental health, and suicide and suicidal thoughts had increased dramatically."
2023,Afghanistan,afghanistan,35,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"According to the United Nations, the rate of contraceptive use among married women was 35 percent for those living in urban areas, compared with 19 percent in rural areas."
2023,Afghanistan,afghanistan,19,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"According to the United Nations, the rate of contraceptive use among married women was 35 percent for those living in urban areas, compared with 19 percent in rural areas."
2023,Afghanistan,afghanistan,1400,women,,count,Section 6. Discrimination and Societal Abuses,,rules,"On January 30, the Kandahar provincial office of the Taliban’s so-called Ministry of Propagation of Virtue and the Prevention of Vice (Amr-e Ba Maroof) instructed the local health department to require all of the province’s 1,400 women healthcare workers to report to work with a mahram and starting on January 30 to forbid women workers from entering clinics or hospitals without a mahram."
2023,Afghanistan,afghanistan,165,children,,count,Section 6. Discrimination and Societal Abuses,,rules,"Between January 1 and March 31, the United Nations verified 315 grave violations against 165 children."
2023,Afghanistan,afghanistan,85,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"Killing and maiming remained the most prevalent violations committed against children, representing 85 percent of all verified violations."
2023,Afghanistan,afghanistan,28,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,UNICEF estimated that 28 percent of women in the country between the ages of 15 and 49 were married before the age of 18 and noted that teenage girls who were not allowed to go to school were more threatened by the “risk of child marriage.” Societal pressures and the Taliban practice of arranging marriages for widows also forced women into unwanted marriages.
2023,Afghanistan,afghanistan,86,percent,more than,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,The International Labor Organization estimated that the informal sector accounted for more than 86 percent of the national economy.
2023,Albania,albania,45.5,percent,,percentage,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"The AHC National Barometer of Freedom of the Media for 2021 reported 45.5 percent of journalists surveyed acknowledged they were asked not to publish a news story, and 45 percent acknowledged self-censoring."
2023,Albania,albania,45,percent,,percentage,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"The AHC National Barometer of Freedom of the Media for 2021 reported 45.5 percent of journalists surveyed acknowledged they were asked not to publish a news story, and 45 percent acknowledged self-censoring."
2023,Albania,albania,12,cases,,count,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"As of October there were 12 cases underway against journalists, seven initiated during the year, for defamation."
2023,Albania,albania,5.3,percent,,percentage,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"In the first eight months of the year, 3,124 refugees and migrants were apprehended by border guards at the country’s borders as part of mixed movements, of which 5.3 percent were referred to an asylum procedure per UNHCR."
2023,Albania,albania,3124,refugees,,count,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"In the first eight months of the year, 3,124 refugees and migrants were apprehended by border guards at the country’s borders as part of mixed movements, of which 5.3 percent were referred to an asylum procedure per UNHCR."
2023,Albania,albania,30,refugees,,count,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"Per the Ministry of Interior, 30 refugees from Ukraine had applied for the temporary protection as of June."
2023,Albania,albania,2126,persons,an estimated,count,Section 2. Respect for Civil Liberties,g. Stateless Persons,rules,"According to UNHCR, by the end of June there were an estimated 2,126 persons at risk of statelessness in the country."
2023,Albania,albania,11,women,,count,Section 6. Discrimination and Societal Abuses,,rules,"As of August, 11 women had been reported killed during the year by their partners or family members."
2023,Albania,albania,60,cases,,count,Section 6. Discrimination and Societal Abuses,,rules,The Ministry of Health and Social Protection reported survivors in 60 cases of domestic violence had received services at the National Reception Center for Domestic Violence as of August.
2023,Albania,albania,20,percent,at least,percentage,Section 6. Discrimination and Societal Abuses,,rules,The law provided for minority-language education and dual official-language use for local administrative units in which minorities traditionally resided or in which a minority group comprised at least 20 percent of the population.
2023,Albania,albania,50,persons,,count,Section 6. Discrimination and Societal Abuses,,rules,Antisemitism The Jewish population was estimated to be 40-50 persons.
2023,Albania,albania,193,children,,count,Section 6. Discrimination and Societal Abuses,,rules,The Ministry of Health and Social Protection reported 193 children in residential care institutions as of November.
2023,Albania,albania,5.5,percent,,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,The labor inspectorate visited 5.5 percent of businesses in the country.
2023,Albania,albania,61.8,percent,,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,"SLISS reported 61.8 percent of violations recorded were related to labor relations, 37.3 percent for safety and health, and 5.8 percent related to wages."
2023,Albania,albania,37.3,percent,,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,"SLISS reported 61.8 percent of violations recorded were related to labor relations, 37.3 percent for safety and health, and 5.8 percent related to wages."
2023,Albania,albania,5.8,percent,,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,"SLISS reported 61.8 percent of violations recorded were related to labor relations, 37.3 percent for safety and health, and 5.8 percent related to wages."
2023,Albania,albania,30,percent,approximately,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,The estimated size of the informal sector was approximately 30 percent of the total labor force.
2023,Algeria,algeria,250,persons,at least,count,Section 1. Respect for the Integrity of the Person,d. Arbitrary Arrest or Detention,rules,"According to the human rights organizations and activists, at least 250 persons were arbitrarily detained for expressing their opinion during the year."
2023,Algeria,algeria,14.7,percent,,percentage,Section 1. Respect for the Integrity of the Person,d. Arbitrary Arrest or Detention,rules,"According to Ministry of Justice figures, 14.7 percent of the prison population was in pretrial detention, and the average duration of pretrial detention was four months."
2023,Algeria,algeria,23,percent,,percentage,Section 3. Freedom to Participate in the Political,,rules,"Official voter turnout was 23 percent, the lowest in the country’s history for a parliamentary election."
2023,Algeria,algeria,35,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"The Ministry of Justice reported a 35 percent increase in domestic violence prosecutions over the previous year for a total of 8,075."
2023,Algeria,algeria,21,women,,count,Section 6. Discrimination and Societal Abuses,,rules,"According to statistics from women’s advocacy groups, 21 women were killed because of their gender in the country as of August."
2023,Algeria,algeria,50,percent,more than,percentage,Section 6. Discrimination and Societal Abuses,,rules,"The Algerian Society of Fertility and Contraception reported more than 50 percent of women used safe, affordable, and effective contraception of their choice."
2023,Algeria,algeria,179,deaths,,count,Section 6. Discrimination and Societal Abuses,,rules,"According to World Health Organization (WHO) data, the maternal mortality rate gradually dropped from 179 deaths per 100,000 live births in 1998 to 112 deaths per 100,000 live births in 2017 (the most recent available annual data)."
2023,Algeria,algeria,112,deaths,,count,Section 6. Discrimination and Societal Abuses,,rules,"According to World Health Organization (WHO) data, the maternal mortality rate gradually dropped from 179 deaths per 100,000 live births in 1998 to 112 deaths per 100,000 live births in 2017 (the most recent available annual data)."
2023,Algeria,algeria,2557,children,,count,Section 6. Discrimination and Societal Abuses,,rules,"The Office of Protection of Vulnerable Persons at the Directorate General of National Security (DGSN) reported that 2,557 children were survivors of violence during the first eight months of the year, a slight increase from 2022, which the DGSN attributed to increased enforcement."
2023,Algeria,algeria,50,children,,count,Section 6. Discrimination and Societal Abuses,,rules,"The Ministry for National Solidarity, Family, and Women reported 50 children’s shelters and centers for at risk children."
2023,Algeria,algeria,200,persons,fewer than,count,Section 6. Discrimination and Societal Abuses,,rules,Antisemitism The country’s Jewish population numbered fewer than 200 persons.
2023,Algeria,algeria,1,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,Few businesses abided by the law requiring that they reserve 1 percent of jobs for persons with disabilities.
2023,Algeria,algeria,1,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"The Ministry of Labor reported it attempted to enforce the 1 percent quota during the year, inspecting 236 businesses to verify compliance."
2023,Algeria,algeria,20,percent,,percentage,Section 7. Worker Rights.,a. Freedom of Association and the Right to Collective,rules,The law raised from 20 percent of an enterprise’s workforce to 25 percent the threshold the union’s membership had to meet or exceed annually to maintain its registration and engage in collective bargaining.
2023,Algeria,algeria,25,percent,,percentage,Section 7. Worker Rights.,a. Freedom of Association and the Right to Collective,rules,The law raised from 20 percent of an enterprise’s workforce to 25 percent the threshold the union’s membership had to meet or exceed annually to maintain its registration and engage in collective bargaining.
2023,Algeria,algeria,30,percent,,percentage,Section 7. Worker Rights.,e. Acceptable Conditions of Work,rules,The International Monetary Fund reported that roughly 30 percent of workers in country were employed in the informal sector.
2023,Andorra,andorra,285,refugees,,count,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"As of early December, 285 refugees from Ukraine and six from Syria were taking advantage of this protection."
2023,Andorra,andorra,100,persons,,count,Section 6. Discrimination and Societal Abuses,,rules,Antisemitism Unofficial estimates placed the size of the Jewish community at 100 persons.
2023,Andorra,andorra,913,persons,,count,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,"As of June, the Andorran Social Security Fund had registered 2,003 workplace accidents, which led to 913 persons on sick leave for an average 42 days."
2023,Angola,angola,20000,inmates,approximately,count,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"Abusive Physical Conditions: Prisons had a total capacity for approximately 20,000 inmates but as of June 10, held 24,490 inmates, of which 11,937 were in pretrial detention."
2023,Angola,angola,24490,inmates,,count,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"Abusive Physical Conditions: Prisons had a total capacity for approximately 20,000 inmates but as of June 10, held 24,490 inmates, of which 11,937 were in pretrial detention."
2023,Angola,angola,53,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"A 2021 study conducted by the NGO Mosaiko stated 53 percent of women in rural communities and urban peripheries did not report domestic violence to civil authorities, and even sexual abuse of adolescents was often addressed by the village leaders and not reported to police."
2023,Angola,angola,222,deaths,,count,Section 6. Discrimination and Societal Abuses,,rules,"According to a 2020 WHO report, the country’s maternal mortality rate was 222 deaths per 100,000 live births, a significant reduction from the rates of 431 deaths in 2007 and 827 deaths in 2000."
2023,Angola,angola,431,deaths,,count,Section 6. Discrimination and Societal Abuses,,rules,"According to a 2020 WHO report, the country’s maternal mortality rate was 222 deaths per 100,000 live births, a significant reduction from the rates of 431 deaths in 2007 and 827 deaths in 2000."
2023,Angola,angola,827,deaths,,count,Section 6. Discrimination and Societal Abuses,,rules,"According to a 2020 WHO report, the country’s maternal mortality rate was 222 deaths per 100,000 live births, a significant reduction from the rates of 431 deaths in 2007 and 827 deaths in 2000."
2023,Angola,angola,1000,women,,count,Section 6. Discrimination and Societal Abuses,,rules,"According to WHO data, the adolescent birth rate was 163 births per 1,000 women between ages 15 and 19."
2023,Angola,angola,30,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"According to 2010-19 data, 30 percent of women of reproductive age had their need for family planning satisfied with modern methods."
2023,Angola,angola,50,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,UNICEF reported 50 percent of births in the country were attended by skilled health personnel in 2016.
2023,Angola,angola,350,persons,approximately,count,Section 6. Discrimination and Societal Abuses,,rules,"Antisemitism There was a Jewish community of approximately 350 persons, primarily resident Israelis."
2023,Angola,angola,4,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"The law also instituted a quota system to encourage the public and private sectors to employ more persons with disabilities, with the public-sector quota set at 4 percent of total employees and the private-sector quota at 2 percent."
2023,Angola,angola,2,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"The law also instituted a quota system to encourage the public and private sectors to employ more persons with disabilities, with the public-sector quota set at 4 percent of total employees and the private-sector quota at 2 percent."
2023,Angola,angola,30,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"Because of limited government resources and uneven availability, only 30 percent of persons with disabilities were able to take advantage of state-provided services such as physical rehabilitation, schooling, training, or counseling."
2023,Angola,angola,80,percent,,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,As much as 80 percent of the workforce (approximately nine million persons) was employed in the informal economy.
2023,Angola,angola,67,percent,,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,"The rate was higher in rural areas than urban areas (93 and 67 percent, respectively)."
2023,Antigua and Barbuda,antigua-and-barbuda,700,individuals,approximately,count,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,Temporary Protection: The government provided temporary protection to approximately 700 individuals from Africa who may not qualify as refugees.
2023,Antigua and Barbuda,antigua-and-barbuda,20,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,Nongovernmental organizations (NGOs) reported a 15 to 20 percent increase in sexual assaults of women.
2023,Antigua and Barbuda,antigua-and-barbuda,15,percent,,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,The government estimated that 15 percent of the workforce was in the informal sector.
2023,Argentina,argentina,117,cases,,count,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"Between January and June, the PPN recorded 117 cases of abuse or mistreatment and registered 103 victims."
2023,Argentina,argentina,103,victims,,count,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"Between January and June, the PPN recorded 117 cases of abuse or mistreatment and registered 103 victims."
2023,Argentina,argentina,26886,persons,,count,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"As of June, the province of Buenos Aires estimated a prison population of 53,097 in space designed for 26,886 persons."
2023,Argentina,argentina,1155,detainees,,count,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"Human rights organizations estimated 1,155 detainees were being held in spaces designed for 543."
2023,Argentina,argentina,11300,individuals,,count,Section 1. Respect for the Integrity of the Person,d. Arbitrary Arrest or Detention,rules,"According to official statistics, almost one-half of the 11,300 individuals detained in federal facilities and half of the 53,100 persons detained in the province of Buenos Aires facilities were in pretrial detention."
2023,Argentina,argentina,53100,persons,,count,Section 1. Respect for the Integrity of the Person,d. Arbitrary Arrest or Detention,rules,"According to official statistics, almost one-half of the 11,300 individuals detained in federal facilities and half of the 53,100 persons detained in the province of Buenos Aires facilities were in pretrial detention."
2023,Argentina,argentina,72,incidents,,count,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"According to the Argentina Journalism Forum (FOPEA), from January 1 to August 31, there were 72 incidents of violence and harassment against journalists, and four journalists were illegally detained."
2023,Argentina,argentina,81,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"A report from Grow, Gender, and Employment, a civil society organization focused on gender matters, stated 81 percent of women perceived being a target of violence, discrimination, or harassment at their workplaces."
2023,Argentina,argentina,30,percent,approximately,percentage,Section 6. Discrimination and Societal Abuses,,rules,"Although equal pay for equal work was constitutionally mandated, as of December 2022 women earned approximately 30 percent less than men earned for equal or similar work."
2023,Argentina,argentina,60,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"Overall, adolescent birth rates declined by 60 percent during the prior 10 years."
2023,Argentina,argentina,2.5,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"Buenos Aires had a rate of 2.5 percent while rural provinces such as Formosa, Chaco, and Misiones reached 17 percent."
2023,Argentina,argentina,17,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"Buenos Aires had a rate of 2.5 percent while rural provinces such as Formosa, Chaco, and Misiones reached 17 percent."
2023,Argentina,argentina,38,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,Children and adolescents represented 38 percent of the survivors of domestic violence cases reported to the Supreme Court’s Office of Domestic Violence.
2023,Argentina,argentina,18,men,,count,Section 6. Discrimination and Societal Abuses,,rules,"On June 29, police conducted 99 raids in the province of Buenos Aires and arrested 18 men on charges related to child sexual exploitation."
2023,Argentina,argentina,12,individuals,,count,Section 6. Discrimination and Societal Abuses,,rules,"On August 28, in a coordinated international operation based in the country, authorities conducted 61 raids, arrested 12 individuals across the country on charges related to child sexual exploitation, and rescued three child victims."
2023,Argentina,argentina,47,individuals,,count,Section 6. Discrimination and Societal Abuses,,rules,The joint operation ended with 47 individuals arrested across eight countries.
2023,Argentina,argentina,18,killings,,count,Section 6. Discrimination and Societal Abuses,,rules,"Violence and Harassment: The National Observatory of Hate Crimes registered 128 hate crimes against LGBTQI+ individuals in 2022, including 18 killings."
2023,Argentina,argentina,7,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"The numbers of hate crimes and killings of LGBTQI+ persons registered a 7 percent increase, compared with 2021."
2023,Argentina,argentina,1,percent,at least,percentage,Section 6. Discrimination and Societal Abuses,,rules,The law stipulated that at least 1 percent of the positions in public administration be held by transgender persons.
2023,Argentina,argentina,1,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"As of June, 709 transgender persons worked in public administration, while the 1 percent quota represented an estimated 3,000 positions."
2023,Argentina,argentina,10,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"Of those positions, only 10 percent hired transgender applicants."
2023,Argentina,argentina,80,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"Nonetheless, human rights organizations estimated 80 percent of transgender persons did not have access to formal employment."
2023,Argentina,argentina,4,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,A law reserved 4 percent of federal government jobs for persons with disabilities.
2023,Argentina,argentina,36,percent,,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,"The national institute of statistics reported 36 percent of workers were in the informal sector at the end of 2022, while the International Labor Organization estimated the level stood at 45 percent in September."
2023,Argentina,argentina,45,percent,,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,"The national institute of statistics reported 36 percent of workers were in the informal sector at the end of 2022, while the International Labor Organization estimated the level stood at 45 percent in September."
2023,Armenia,armenia,195,persons,,count,Section 1. Respect for the Integrity of the Person,b. Disappearance,rules,"According to the government, by year’s end, 195 persons (including 20 civilians) were considered missing after the fall 2020 fighting and two more military service members were considered missing after the September 2022 hostilities."
2023,Armenia,armenia,20,percent,,percentage,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"According to the July 25 report by the Helsinki Citizens Assembly Vanadzor on monitoring of police reform, there were 199 reports of human rights violation by police during 2022, a 20 percent increase compared with 2021 and 54 percent increase compared with 2019."
2023,Armenia,armenia,54,percent,,percentage,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"According to the July 25 report by the Helsinki Citizens Assembly Vanadzor on monitoring of police reform, there were 199 reports of human rights violation by police during 2022, a 20 percent increase compared with 2021 and 54 percent increase compared with 2019."
2023,Armenia,armenia,25,percent,,percentage,Section 1. Respect for the Integrity of the Person,d. Arbitrary Arrest or Detention,rules,"According to official statistics, in 2022, only 25 percent of bail requests were granted, while courts granted 70 percent of government detention requests."
2023,Armenia,armenia,70,percent,,percentage,Section 1. Respect for the Integrity of the Person,d. Arbitrary Arrest or Detention,rules,"According to official statistics, in 2022, only 25 percent of bail requests were granted, while courts granted 70 percent of government detention requests."
2023,Armenia,armenia,58,individuals,,count,Section 2. Respect for Civil Liberties,b. Freedoms of Peaceful Assembly and Association,rules,"According to official information, the Investigative Committee launched investigations into 58 individuals, and officially pressed charges against 46 of them, in connection with the protests; 28 of the accused remained in pretrial detention as of November 3."
2023,Armenia,armenia,34,persons,,count,Section 2. Respect for Civil Liberties,b. Freedoms of Peaceful Assembly and Association,rules,"On September 20, the Ministry of Health reported that as a result of the clashes near the government building on the previous day, 34 persons were injured, of whom 16 were police and 18 were civilians, although they did not share the extent or severity of the injuries."
2023,Armenia,armenia,50,persons,,count,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"The only reception center for asylum seekers in the country, with a capacity of 48-50 persons, was constantly full due to the high numbers of asylum seekers."
2023,Armenia,armenia,150000,individuals,,count,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"Because the status would apply to recent Nagorno-Karabakh residents as well as those displaced in 2020, it could cover as many as 150,000 individuals, according to Migration and Citizenship Services."
2023,Armenia,armenia,7600,persons,at least,count,Section 2. Respect for Civil Liberties,f. Status and Treatment of Internally Displaced Persons,rules,"According to official information, following the September 2022 fighting, at least 7,600 persons were displaced from the Gegharkunik, Syunik, and Vayots Dzor Regions."
2023,Armenia,armenia,1000,persons,,count,Section 6. Discrimination and Societal Abuses,,rules,"Antisemitism Observers estimated the country’s Jewish population at between 500 and 1,000 persons with several hundred additional arrivals from Russia since the start of its war against Ukraine in 2022."
2023,Armenia,armenia,450,persons,,count,Section 6. Discrimination and Societal Abuses,,rules,"On February 17, police announced an investigation revealed abuse and torture at the Vardenis Neuropsychological Boarding House, which operated under the auspices of the Ministry of Labor and Social Affairs and housed 450 persons with mental health problems and disabilities."
2023,Armenia,armenia,1129,children,,count,Section 6. Discrimination and Societal Abuses,,rules,"Institutionalized Children: Although authorities continued deinstitutionalization efforts, 1,129 children remained in five state-run care and seven state-run educational institutions."
2023,Armenia,armenia,15,percent,an estimated,percentage,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,The informal sector comprised an estimated 15 percent of the total workforce.
2023,Australia,australia,20000,individuals,up to,count,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"The government stated th is provided a pathway for permanent prote ction for up to 20,000 individuals ."
2023,Australia,australia,13,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,"Employment discrimination agains t women occurred ; according to the government’s Workplace Gender Equality Agency, the full - time gender pay gap was 13 percent."
2023,Australia,australia,20,percent,,percentage,Section 6. Discrimination and Societal Abuses,,rules,Indigenous - owned or -controlled land constituted approximat ely 20 percent of the country ’s area (excluding native title lands) and almost half of the land in the Northern Territory .
