source,source_type,mentions,countries,confidence
In February the Uyghur Human Rights Project,named (unclassified),1,1,medium
In May The Guardian,named (unclassified),1,1,medium
independent civil society organizations,unnamed/generic,1,1,low
Freedom of Association,named (unclassified),1,1,medium
China Brief,named (unclassified),1,1,medium
United Kingdom,named (unclassified),1,1,medium
In April the NGO Chinese Human Rights Defenders (CHRD),named (unclassified),1,1,medium
Coercion In April Safeguard Defenders,named (unclassified),1,1,medium
independent academic,unnamed/generic,1,1,low
In June the Australian Broadcasting Corporation,named (unclassified),1,1,medium
Inter-American Commission on Human Rights (IACHR),named (unclassified),1,1,medium
Human Rights Directorate,named (unclassified),1,1,medium
National Statistical Service,named (unclassified),1,1,medium
NGO Center for Research and Popular Education (CINEP),named (unclassified),1,1,medium
Superior Judiciary Council,named (unclassified),1,1,medium
Jewish Zionist Center,named (unclassified),1,1,medium
National Human Rights Council,named (unclassified),1,1,medium
Minister of Interior,named (unclassified),1,1,medium
Minister of War Veteran Affairs Tomo Medved,named (unclassified),1,1,medium
Prime Minister Plenkovic,named (unclassified),1,1,medium
Center for Legal Information Cubalex,named (unclassified),1,1,medium
Labor Ministry of Labor and Social Security,named (unclassified),1,1,medium
Office of National Statistics,named (unclassified),1,1,medium
Spain-based NGO Prisoners Defenders,named (unclassified),1,1,medium
Prevention of Torture (CPT),named (unclassified),1,1,medium
Turkish Cypriot NGOs,named (unclassified),1,1,medium
Turkish Cypriots,named (unclassified),1,1,medium
Jewish Community Center,named (unclassified),1,1,medium
UN Group of Experts,named (unclassified),1,1,medium
Democratic Republic of Congo (MONUSCO),named (unclassified),1,1,medium
Extractive Industries Transparency Initiative,named (unclassified),1,1,medium
international expert,unnamed/generic,1,1,low
Observatory for Rights and Justice of Ecuador,named (unclassified),1,1,medium
Charges Several NGOs,named (unclassified),1,1,medium
Regional Human Rights Advisory Foundation,named (unclassified),1,1,medium
local human rights group,unnamed/generic,1,1,low
Child in April,named (unclassified),1,1,medium
Vanguards of Liberation,named (unclassified),1,1,medium
Ombudsperson for Human Rights,named (unclassified),1,1,medium
Center for Monitoring Attacks on Journalists,named (unclassified),1,1,medium
Presidential Commission for Human Rights and Freedom of Expression,named (unclassified),1,1,medium
UN Human Rights Council Working Group on Arbitrary Detention,named (unclassified),1,1,medium
Occupational Safety and Health No,named (unclassified),1,1,medium
UN Human Rights Council,named (unclassified),1,1,medium
NGO Release International,named (unclassified),1,1,medium
Swaziland National Association of Teachers,named (unclassified),1,1,medium
South Africa,named (unclassified),1,1,medium
independent human rights organizations,unnamed/generic,1,1,low
Ethiopian Human Rights Council (EHRCO),named (unclassified),1,1,medium
Kewet District,named (unclassified),1,1,medium
Molale District,named (unclassified),1,1,medium
Center for Advancement of Rights and Democracy (CARD),named (unclassified),1,1,medium
Refugees International,named (unclassified),1,1,medium
Tigray Bureau of Health,named (unclassified),1,1,medium
Ethiopian Human Rights Defenders Center (EHRDC),named (unclassified),1,1,medium
Belete Kassa,named (unclassified),1,1,medium
National Employment Policy and Strategy of Ethiopia,named (unclassified),1,1,medium
Ethiopia Insider,named (unclassified),1,1,medium
Ethiopian Civil Society Organizations Council,named (unclassified),1,1,medium
Economist and DW,named (unclassified),1,1,medium
BBC Amharic,named (unclassified),1,1,medium
VOA Amharic,named (unclassified),1,1,medium
Immigration Service,named (unclassified),1,1,medium
Berman Jewish Agency,named (unclassified),1,1,medium
Representative Council of Jewish Institutions in France,named (unclassified),1,1,medium
Office for Democratic Institutions and Human Rights,named (unclassified),1,1,medium
Georgian Progressive Forum,named (unclassified),1,1,medium
Georgian Trade Unions Confederation (GTUC),named (unclassified),1,1,medium
