source,source_type,mentions,countries,confidence
ngos,unnamed/generic,2100,180,low
journalists,unnamed/generic,1323,150,low
activists,unnamed/generic,935,124,low
ngo,unnamed/generic,860,161,low
observers,unnamed/generic,724,182,low
UNHCR,UN body,669,138,high
human rights organizations,unnamed/generic,349,82,low
experts,unnamed/generic,335,121,low
civil society organizations,unnamed/generic,314,107,low
human rights defenders,unnamed/generic,275,84,low
media outlets,unnamed/generic,271,109,low
trade union,unnamed/generic,268,112,low
journalist,unnamed/generic,265,100,low
trade unions,unnamed/generic,249,115,low
human rights groups,unnamed/generic,244,87,low
human rights activists,unnamed/generic,204,74,low
United Nations,UN body,199,91,high
activist,unnamed/generic,184,76,low
international human rights groups,unnamed/generic,177,154,low
media reports,unnamed/generic,156,75,low
Amnesty International,international NGO,145,62,high
local ngos,unnamed/generic,140,65,low
civil society groups,unnamed/generic,135,67,low
Freedom House,international NGO,119,51,high
UNICEF,UN body,117,68,high
Human Rights Watch,international NGO,116,60,high
nongovernmental organizations,unnamed/generic,105,95,low
labor unions,unnamed/generic,102,56,low
international ngos,unnamed/generic,98,51,low
International Labor Organization,UN body,93,79,high
international observers,unnamed/generic,68,50,low
academic,unnamed/generic,67,42,low
International Committee of the Red Cross,international NGO,66,62,high
Council of Europe,intergovernmental,64,35,high
World Bank,IFI,53,43,high
International Organization for Migration,UN body,50,47,high
nongovernmental organization,unnamed/generic,48,47,low
international human rights organizations,unnamed/generic,48,37,low
independent journalists,unnamed/generic,44,24,low
UNFPA,UN body,44,14,high
labor union,unnamed/generic,43,32,low
local ngo,unnamed/generic,42,23,low
media outlet,unnamed/generic,39,34,low
domestic ngos,unnamed/generic,37,23,low
independent observers,unnamed/generic,35,25,low
academics,unnamed/generic,35,25,low
human rights activist,unnamed/generic,33,25,low
human rights organization,unnamed/generic,33,15,low
Reporters Without Borders,international NGO,32,28,high
independent media outlets,unnamed/generic,31,16,low
World Health Organization,UN body,30,27,high
press reports,unnamed/generic,30,21,low
European Court of Human Rights,judicial,29,22,high
