source,type,mentions_2023,mentions_2024,countries_2023,countries_2024,mention_delta,country_delta
Arab World Now,named (unclassified),2,0,1,0,-2,-1
Roma Plenipotentiary,named (unclassified),2,0,1,0,-2,-1
Citizens and NGOs,named (unclassified),2,0,1,0,-2,-1
Brazilian Public Security Forum,named (unclassified),2,0,1,0,-2,-1
NGO Hengaw,named (unclassified),2,0,1,0,-2,-1
In September the Ethiopian Human Rights Defenders Center,named (unclassified),2,0,1,0,-2,-1
Confederation of Independent Trade Unions of Bulgaria,named (unclassified),0,2,0,1,2,1
UN Human Rights Council,named (unclassified),3,1,3,1,-2,-2
International Work Group for Indigenous Affairs,named (unclassified),2,0,2,0,-2,-2
Prisoners Defenders,named (unclassified),2,0,1,0,-2,-1
State Revenue Committee,named (unclassified),2,0,1,0,-2,-1
Human Rights Commission,named (unclassified),3,1,2,1,-2,-1
Directorate of Prison Administration,named (unclassified),2,0,1,0,-2,-1
Ministry of Labor and Social Protection,named (unclassified),1,3,1,1,2,0
National Institute of Statistics and Demography,named (unclassified),2,0,1,0,-2,-1
Centre for Governance Studies,named (unclassified),2,0,1,0,-2,-1
PDO and NGOs,named (unclassified),2,0,1,0,-2,-1
NGO Sahil,named (unclassified),2,0,1,0,-2,-1
Chronicles of Turkmenistan,named (unclassified),2,0,1,0,-2,-1
Ministry of Culture,named (unclassified),2,0,2,0,-2,-2
Human Dignity Trust,named (unclassified),2,0,1,0,-2,-1
BH Journalists Association,named (unclassified),2,0,1,0,-2,-1
Radio Liberty,named (unclassified),2,0,2,0,-2,-2
SR Bennett,named (unclassified),0,2,0,1,2,1
Gulf International Forum,named (unclassified),2,0,1,0,-2,-1
Civic Assistance Committee,named (unclassified),2,0,1,0,-2,-1
Sarajevo Open Center,named (unclassified),2,0,1,0,-2,-1
National Commission on Human Rights,named (unclassified),2,0,2,0,-2,-2
Nash Svit,named (unclassified),2,0,1,0,-2,-1
Addis Standard,named (unclassified),0,2,0,1,2,1
NGO Accept LGBTI Cyprus,named (unclassified),2,0,1,0,-2,-1
Mission Wings,named (unclassified),2,0,1,0,-2,-1
O Globo,named (unclassified),2,0,1,0,-2,-1
NGO Advocacy Forum,named (unclassified),0,2,0,1,2,1
UN Security Council,named (unclassified),0,2,0,2,2,2
Journalists and NGOs,named (unclassified),4,2,3,1,-2,-2
Amnesty Finland,named (unclassified),2,0,1,0,-2,-1
María Corina Machado,named (unclassified),2,0,1,0,-2,-1
June RFA,named (unclassified),2,0,1,0,-2,-1
Coordination of Humanitarian Affairs (OCHA),named (unclassified),2,0,2,0,-2,-2
Interior Ministry,named (unclassified),3,1,3,1,-2,-2
President Saied,named (unclassified),2,0,1,0,-2,-1
Ministry of Human Rights,named (unclassified),0,2,0,1,2,1
Defense and Promotion of Human Rights,named (unclassified),2,0,1,0,-2,-1
Application of Law,named (unclassified),2,0,1,0,-2,-1
Center for Law of Armed Conflict,named (unclassified),4,2,1,1,-2,0
Helsinki Foundation for Human Rights,named (unclassified),2,0,1,0,-2,-1
