source,type,mentions_2023,mentions_2024,countries_2023,countries_2024,mention_delta,country_delta
Tahafuz Center,named (unclassified),1,0,1,0,-1,-1
Federal Anti-Discrimination Agency (FADA),named (unclassified),1,0,1,0,-1,-1
Department of Basic Education,named (unclassified),1,0,1,0,-1,-1
President Caputova,named (unclassified),1,0,1,0,-1,-1
Daily NK,named (unclassified),0,1,0,1,1,1
Socially Disadvantaged Affairs Office,named (unclassified),1,0,1,0,-1,-1
Ozak Tekstil,named (unclassified),0,1,0,1,1,1
Racism and Intolerance (ECRI),named (unclassified),1,0,1,0,-1,-1
Philippines (NUJP),named (unclassified),1,0,1,0,-1,-1
Protection of Children,named (unclassified),2,1,2,1,-1,-1
Correctional Service of Canada,named (unclassified),1,0,1,0,-1,-1
Institute for Activism and Social Change,named (unclassified),0,1,0,1,1,1
Omani Association of Human Rights,named (unclassified),1,0,1,0,-1,-1
Committee of Ministers,named (unclassified),1,0,1,0,-1,-1
Tel Aviv,named (unclassified),1,0,1,0,-1,-1
Community Services Section,named (unclassified),1,0,1,0,-1,-1
In February the Uyghur Human Rights Project,named (unclassified),0,1,0,1,1,1
Polina Velcheva,named (unclassified),1,0,1,0,-1,-1
Human Rights NGOs,named (unclassified),1,0,1,0,-1,-1
Dublin III Regulation,named (unclassified),1,0,1,0,-1,-1
UN High Commissioner for Human Rights Türk,named (unclassified),0,1,0,1,1,1
UN Fact- Finding Mission,named (unclassified),0,1,0,1,1,1
Berman Jewish Agency,named (unclassified),0,1,0,1,1,1
Jewish Community Belgrade,named (unclassified),0,1,0,1,1,1
Canada Border Services Agency,named (unclassified),1,0,1,0,-1,-1
Development of People,named (unclassified),1,0,1,0,-1,-1
NGO Guinea-Bissau Human Rights League (GBHRL),named (unclassified),0,1,0,1,1,1
Costa Rica,named (unclassified),0,1,0,1,1,1
PEN America,named (unclassified),1,0,1,0,-1,-1
Yves Society,named (unclassified),1,0,1,0,-1,-1
Amnesty Israel,named (unclassified),1,0,1,0,-1,-1
Prime Minister Plenkovic,named (unclassified),0,1,0,1,1,1
National Council of Justice,named (unclassified),1,0,1,0,-1,-1
Berman Jewish Databank,named (unclassified),0,1,0,1,1,1
Islamic Religious Community (IRC),named (unclassified),1,0,1,0,-1,-1
Social Action,named (unclassified),1,0,1,0,-1,-1
Roma-led CSO Romalitico,named (unclassified),1,0,1,0,-1,-1
Unified Human Rights Database,named (unclassified),0,1,0,1,1,1
Mandela Center International,named (unclassified),0,1,0,1,1,1
Iran Human Rights,named (unclassified),0,1,0,1,1,1
NGO Nisma Arsis,named (unclassified),0,1,0,1,1,1
CSP- DPA,named (unclassified),0,1,0,1,1,1
CONADEH and CONAPREV,named (unclassified),1,0,1,0,-1,-1
NGO Mutual Support Group,named (unclassified),1,0,1,0,-1,-1
Team Pachedu,named (unclassified),1,0,1,0,-1,-1
Cambodia Socio-Economic Survey,named (unclassified),1,0,1,0,-1,-1
NGO Women in News,named (unclassified),1,0,1,0,-1,-1
Maldives Police Service (MPS),named (unclassified),0,1,0,1,1,1
NGO TAF Africa,named (unclassified),1,0,1,0,-1,-1
NGO Reporters,named (unclassified),0,1,0,1,1,1
Coordination of Humanitarian Affairs,named (unclassified),2,1,2,1,-1,-1
NGO Intersex Greece,named (unclassified),1,0,1,0,-1,-1
NGO Research and Information on Anti-Semitism in Luxembourg (RIAL),named (unclassified),0,1,0,1,1,1
Montenegrin HIV Foundation,named (unclassified),1,0,1,0,-1,-1
Claudia Dadico,named (unclassified),1,0,1,0,-1,-1
National Statistical Service,named (unclassified),0,1,0,1,1,1
South China Morning Post,named (unclassified),1,0,1,0,-1,-1
Global Trans Rights Index,named (unclassified),1,0,1,0,-1,-1
Protection of Journalists (CPJ),named (unclassified),0,1,0,1,1,1
Association of Roma Lawyers RomaJust,named (unclassified),0,1,0,1,1,1
UN Special Rapporteur on Human Rights Defenders,named (unclassified),1,0,1,0,-1,-1
International Foundation for Electoral Systems,named (unclassified),1,0,1,0,-1,-1
World Prison Brief,named (unclassified),0,1,0,1,1,1
Kharkiv Human Rights Protection Group (KHPG),named (unclassified),1,0,1,0,-1,-1
LNFOD Executive Director Sefuthi,named (unclassified),1,0,1,0,-1,-1
Media Freedom Rapid Response,named (unclassified),1,0,1,0,-1,-1
NGO Migrant Rights,named (unclassified),1,0,1,0,-1,-1
Justice Ministry,named (unclassified),1,0,1,0,-1,-1
Bureau of Corrections,named (unclassified),1,0,1,0,-1,-1
Action Group for Palestinians of Syria,named (unclassified),1,0,1,0,-1,-1
NGO Better Work Haiti (BWH),named (unclassified),0,1,0,1,1,1
EU Survey of Statistics on Income and Living Conditions,named (unclassified),0,1,0,1,1,1
Use of Lethal Force,named (unclassified),1,0,1,0,-1,-1
UN Human Rights Committee,named (unclassified),1,0,1,0,-1,-1
In June the ROK-based NGO PSCORE,named (unclassified),1,0,1,0,-1,-1
NGO Damj Association,named (unclassified),1,0,1,0,-1,-1
Refugees International,named (unclassified),0,1,0,1,1,1
Roma NGOs,named (unclassified),1,0,1,0,-1,-1
President Ilham Aliyev,named (unclassified),1,0,1,0,-1,-1
Mbororo Social and Cultural Development Association,named (unclassified),1,0,1,0,-1,-1
Justice Mainali,named (unclassified),1,0,1,0,-1,-1
Vanessa Veneti Kottika,named (unclassified),1,0,1,0,-1,-1
UN Entity on Gender Equality,named (unclassified),1,0,1,0,-1,-1
Al Nakheel Center for Press Rights and Freedoms,named (unclassified),0,1,0,1,1,1
UN Assistance Mission in Somalia,named (unclassified),0,1,0,1,1,1
Mahrang Baloch,named (unclassified),0,1,0,1,1,1
Pakistan Institute of Labor Education and Research,named (unclassified),1,0,1,0,-1,-1
Cobertura Digital,named (unclassified),1,0,1,0,-1,-1
East Jerusalem,named (unclassified),1,0,1,0,-1,-1
Emirates Detainees Advocacy Center,named (unclassified),1,0,1,0,-1,-1
NGO Center for Defenders and Justice,named (unclassified),1,0,1,0,-1,-1
Lebanese Center for Human Rights,named (unclassified),1,0,1,0,-1,-1
NGO Helem,named (unclassified),1,0,1,0,-1,-1
New Arab,named (unclassified),1,0,1,0,-1,-1
Cuban Observatory of Human Rights,named (unclassified),1,0,1,0,-1,-1
Racist Violence Recording Network (RVRN),named (unclassified),1,0,1,0,-1,-1
Supreme Court Shermuhammad Shohiyon,named (unclassified),1,0,1,0,-1,-1
Reprieve and ESOHR,named (unclassified),1,0,1,0,-1,-1
Karen Human Rights Group,named (unclassified),1,0,1,0,-1,-1
South Africa,named (unclassified),0,1,0,1,1,1
Ethiopian Civil Society Organizations Council,named (unclassified),0,1,0,1,1,1
Investigative Committee,named (unclassified),2,1,2,1,-1,-1
Institute of Press and Society,named (unclassified),1,0,1,0,-1,-1
Steel Company in Mvuma,named (unclassified),1,0,1,0,-1,-1
Organized Crime and Corruption Reporting Project,named (unclassified),1,0,1,0,-1,-1
Deutsche Presse Agentur,named (unclassified),1,0,1,0,-1,-1
Gulf Center for Human Rights,named (unclassified),0,1,0,1,1,1
Danish Institute for Human Rights (DIHR),named (unclassified),1,0,1,0,-1,-1
Observatory for Media Freedoms in Yemen,named (unclassified),1,0,1,0,-1,-1
Candlelight Party,named (unclassified),1,0,1,0,-1,-1
Union of Asylum Service Contract Workers,named (unclassified),0,1,0,1,1,1
UN Commission of Inquiry,named (unclassified),0,1,0,1,1,1
National Board of Health and Welfare,named (unclassified),1,0,1,0,-1,-1
Minister of Interior Herbert Reul,named (unclassified),1,0,1,0,-1,-1
In August the Gender in Geopolitics Institute,named (unclassified),1,0,1,0,-1,-1
Duay Jai,named (unclassified),0,1,0,1,1,1
Berlin NGO Maneo,named (unclassified),1,0,1,0,-1,-1
Access Now,named (unclassified),1,0,1,0,-1,-1
In September Radio Free Asia (RFA),named (unclassified),1,0,1,0,-1,-1
NGO Transgender Network,named (unclassified),1,0,1,0,-1,-1
China Labor Watch,named (unclassified),1,0,1,0,-1,-1
Association of Journalists of La Paz,named (unclassified),1,0,1,0,-1,-1
Jewish Zionist Center,named (unclassified),0,1,0,1,1,1
Public Prosecution Services,named (unclassified),0,1,0,1,1,1
Involuntary Disappearance,named (unclassified),0,1,0,1,1,1
Torture (NPM),named (unclassified),1,0,1,0,-1,-1
Jerusalem Institute for Policy Research,named (unclassified),1,0,1,0,-1,-1
China Media Project,named (unclassified),1,0,1,0,-1,-1
Bureau of Border and Foreign Police,named (unclassified),1,0,1,0,-1,-1
Court Watch,named (unclassified),1,0,1,0,-1,-1
Ministry of Inclusion,named (unclassified),1,0,1,0,-1,-1
Penitentiary System,named (unclassified),0,1,0,1,1,1
Albanian Institute of Political Studies (AIPS),named (unclassified),1,0,1,0,-1,-1
In February the CNIDH,named (unclassified),1,0,1,0,-1,-1
North Korea,named (unclassified),1,0,1,0,-1,-1
Urban Planning,named (unclassified),1,0,1,0,-1,-1
Zair Mundaray,named (unclassified),1,0,1,0,-1,-1
Radio France International (RFI),named (unclassified),1,0,1,0,-1,-1
NGO Memorial,named (unclassified),1,0,1,0,-1,-1
Department of Immigration,named (unclassified),1,0,1,0,-1,-1
Data Protection Authority,named (unclassified),1,0,1,0,-1,-1
National Center for Social Sector Information,named (unclassified),1,0,1,0,-1,-1
Prime Minister Mitsotakis,named (unclassified),1,0,1,0,-1,-1
Pink Cross,named (unclassified),1,0,1,0,-1,-1
Maralbeshi County,named (unclassified),1,0,1,0,-1,-1
Milorad Ivanovic,named (unclassified),1,0,1,0,-1,-1
Both PETAL and UniBAM,named (unclassified),1,0,1,0,-1,-1
Department for Enforcement of Sanctions (DES),named (unclassified),1,0,1,0,-1,-1
Istanbul Convention,named (unclassified),1,0,1,0,-1,-1
Penal System,named (unclassified),1,0,1,0,-1,-1
Independent Police Investigative Directorate,named (unclassified),0,1,0,1,1,1
Swedish Agency for Environment Expertise,named (unclassified),1,0,1,0,-1,-1
Human Rights NGO Nash Svit,named (unclassified),1,0,1,0,-1,-1
Lesotho Police Staff Association (LEPOSA),named (unclassified),1,0,1,0,-1,-1
European Commission,named (unclassified),3,2,3,2,-1,-1
Hamburg OPC,named (unclassified),1,0,1,0,-1,-1
Human Rights Awareness and Promotion Forum (HRAPF),named (unclassified),1,0,1,0,-1,-1
IPYS and Espacio Público,named (unclassified),1,0,1,0,-1,-1
In April the NGO Chinese Human Rights Defenders (CHRD),named (unclassified),0,1,0,1,1,1
Antisemitism The Jewish Zionist Center,named (unclassified),1,0,1,0,-1,-1
NGO Health Education and Research Association,named (unclassified),1,0,1,0,-1,-1
Federal Office for Migration and Refugees,named (unclassified),0,1,0,1,1,1
Nyasa Rainbow Alliance,named (unclassified),1,0,1,0,-1,-1
NGO Center for Legal Resources,named (unclassified),1,0,1,0,-1,-1
Worldwide Information Network of Abductees (THEWINA),named (unclassified),1,0,1,0,-1,-1
Discrimination Local NGOs,named (unclassified),1,0,1,0,-1,-1
Stamford Hill Shomrim,named (unclassified),1,0,1,0,-1,-1
Disability-rights NGOs,named (unclassified),1,0,1,0,-1,-1
Ministry of Labor and Social Security,named (unclassified),0,1,0,1,1,1
Abu Dhabi,named (unclassified),1,0,1,0,-1,-1
Pro-Roma NGOs,named (unclassified),1,0,1,0,-1,-1
Seoul-based NGO People for Successful Corean Reunification,named (unclassified),1,0,1,0,-1,-1
Association of Women Lawyers,named (unclassified),1,0,1,0,-1,-1
Study of Development and Peace (INDEPAZ),named (unclassified),1,0,1,0,-1,-1
June the New Zealand Jewish Council,named (unclassified),0,1,0,1,1,1
CHT Commission,named (unclassified),1,0,1,0,-1,-1
Galib Bayramov,named (unclassified),1,0,1,0,-1,-1
Kosovan Serbs,named (unclassified),1,0,1,0,-1,-1
Ministry of Finance,named (unclassified),2,1,2,1,-1,-1
NGO Utopix Femicide Monitor,named (unclassified),1,0,1,0,-1,-1
Regional Human Rights Advisory Foundation,named (unclassified),0,1,0,1,1,1
European Centre for Democracy and Human Rights,named (unclassified),0,1,0,1,1,1
NGO Children Rights Center Albania (CRCA),named (unclassified),1,0,1,0,-1,-1
Search of Persons,named (unclassified),1,0,1,0,-1,-1
Linakeng Community Councilor Shao Sebeta,named (unclassified),0,1,0,1,1,1
International NGO Safety Organization,named (unclassified),1,0,1,0,-1,-1
Bahrain Institute for Rights and Democracy (BIRD),named (unclassified),1,0,1,0,-1,-1
Attorney General (OAG),named (unclassified),1,0,1,0,-1,-1
NGO Southeast Asia Freedom of Expression Network,named (unclassified),0,1,0,1,1,1
National Human Rights Ombudsman (CONADEH),named (unclassified),0,1,0,1,1,1
Ministry of Employment and Labor,named (unclassified),3,2,1,1,-1,0
UN Office of High Commissioner for Human Rights,named (unclassified),0,1,0,1,1,1
Radio Zamaneh,named (unclassified),0,1,0,1,1,1
Warsaw Praga- Poludnie District Court,named (unclassified),1,0,1,0,-1,-1
Sierra Leone Correctional Services (SLCS),named (unclassified),1,0,1,0,-1,-1
Hungarian Helsinki Committee (HHC),named (unclassified),1,0,1,0,-1,-1
Sanad and Prisoners of Conscience,named (unclassified),1,0,1,0,-1,-1
Ethnic Uzbeks,named (unclassified),1,0,1,0,-1,-1
Supreme Court,named (unclassified),2,3,2,2,1,0
Labor Authorities,named (unclassified),1,0,1,0,-1,-1
NGO FundaRedes,named (unclassified),1,0,1,0,-1,-1
Venezuelan Observatory of Social Conflict,named (unclassified),1,0,1,0,-1,-1
National Human Rights Commission (CONADEH),named (unclassified),1,0,1,0,-1,-1
Cambodian Journalists Alliance Association,named (unclassified),1,0,1,0,-1,-1
Human Rights Law Centre in July,named (unclassified),0,1,0,1,1,1
Media Council,named (unclassified),1,0,1,0,-1,-1
Ministry for Law,named (unclassified),1,0,1,0,-1,-1
Freedom of Association Some NGOs,named (unclassified),1,0,1,0,-1,-1
Crisis Center,named (unclassified),1,0,1,0,-1,-1
Hellenic Police,named (unclassified),1,0,1,0,-1,-1
De Ruyter,named (unclassified),1,0,1,0,-1,-1
South African Human Rights Commission,named (unclassified),1,0,1,0,-1,-1
Discrimination NGOs,named (unclassified),1,0,1,0,-1,-1
NGO Solidarity Center,named (unclassified),0,1,0,1,1,1
Bolivian National Press Association (ANP),named (unclassified),0,1,0,1,1,1
March the Pasteur Institute of Madagascar,named (unclassified),1,0,1,0,-1,-1
Protect Journalists in February,named (unclassified),0,1,0,1,1,1
NGO Justice for Sisters,named (unclassified),1,0,1,0,-1,-1
Pham Thi Huong Giang,named (unclassified),1,0,1,0,-1,-1
Safe Journalist Network,named (unclassified),1,0,1,0,-1,-1
Liberation of All Political Prisoners in Togo,named (unclassified),1,0,1,0,-1,-1
Department of Corrections,named (unclassified),0,1,0,1,1,1
Disabilities-Sierra Leone and NGOs,named (unclassified),1,0,1,0,-1,-1
National Public Security System,named (unclassified),1,0,1,0,-1,-1
Citizens for Innovation (CI),named (unclassified),1,0,1,0,-1,-1
Ethiopian Insider,named (unclassified),1,0,1,0,-1,-1
World Jewish Congress,named (unclassified),2,3,2,3,1,1
Wiesel Institute,named (unclassified),0,1,0,1,1,1
NGO Nyasa Rainbow Alliance,named (unclassified),1,0,1,0,-1,-1
German Institute for Human Rights,named (unclassified),0,1,0,1,1,1
Guyana Public Service Union,named (unclassified),1,0,1,0,-1,-1
Police and NGOs,named (unclassified),1,0,1,0,-1,-1
Equality Now,named (unclassified),0,1,0,1,1,1
Transnational Organized Crime,named (unclassified),1,0,1,0,-1,-1
Alliance Against Discrimination of LGBT,named (unclassified),1,0,1,0,-1,-1
Tigray Bureau of Health,named (unclassified),0,1,0,1,1,1
National Center for Human Rights (NCHR),named (unclassified),1,0,1,0,-1,-1
Espacio Público,named (unclassified),2,1,1,1,-1,0
International Labour Organization,UN body,1,0,1,0,-1,-1
Brigadier Felix Kulayigye,named (unclassified),1,0,1,0,-1,-1
Turkmenistan Helsinki Foundation for Human Rights,named (unclassified),1,0,1,0,-1,-1
Le Anh Hung,named (unclassified),1,0,1,0,-1,-1
IRGC-affiliated Fars News Agency,named (unclassified),1,0,1,0,-1,-1
Legal Aid Center,named (unclassified),1,0,1,0,-1,-1
Aubrey Baxter,named (unclassified),1,0,1,0,-1,-1
In March Transition President Traoré,named (unclassified),1,0,1,0,-1,-1
In July the Kera Foundation,named (unclassified),1,0,1,0,-1,-1
Parliamentary Affairs,named (unclassified),1,0,1,0,-1,-1
CSO Romalitico,named (unclassified),1,0,1,0,-1,-1
World Economics,named (unclassified),2,3,2,3,1,1
Liberation of Detainees (CNLD),named (unclassified),1,0,1,0,-1,-1
Roya News,named (unclassified),1,0,1,0,-1,-1
NGO Young Roma,named (unclassified),1,0,1,0,-1,-1
Global Gender Gap Report,named (unclassified),1,0,1,0,-1,-1
High Representative,named (unclassified),1,0,1,0,-1,-1
Unions and NGOs,named (unclassified),0,1,0,1,1,1
Philip Obaji Jr,named (unclassified),0,1,0,1,1,1
Benghazi-based General Intelligence Service,named (unclassified),1,0,1,0,-1,-1
NGO Socorro Jurídico Humanitario,named (unclassified),1,0,1,0,-1,-1
In March the UN High Commissioner for Human Rights,named (unclassified),1,0,1,0,-1,-1
Discrimination The Catholic Multimedia Center,named (unclassified),1,0,1,0,-1,-1
Arab World Now (DAWN),named (unclassified),0,1,0,1,1,1
NGO Coalition on Diversity and Action,named (unclassified),1,0,1,0,-1,-1
National Commission on Violence Against Women,named (unclassified),1,0,1,0,-1,-1
Sri Lanka,named (unclassified),1,0,1,0,-1,-1
Beijing News,named (unclassified),1,0,1,0,-1,-1
NGO Congo Handicap,named (unclassified),1,0,1,0,-1,-1
Anti-Human Trafficking Bureau,named (unclassified),1,0,1,0,-1,-1
NGO Freedom Imaginaries,named (unclassified),0,1,0,1,1,1
Civic Alliance,named (unclassified),1,0,1,0,-1,-1
Situation of Human Rights in Afghanistan Richard Bennett,named (unclassified),1,0,1,0,-1,-1
Nisma Arsis,named (unclassified),1,0,1,0,-1,-1
Pressure The Association of Journalists in Kosovo (AJK),named (unclassified),0,1,0,1,1,1
Nakaoka Shun,named (unclassified),1,0,1,0,-1,-1
Pamir Daily News and Bomdod,named (unclassified),1,0,1,0,-1,-1
NGO GYLA,named (unclassified),1,0,1,0,-1,-1
Voice for Sindhi Missing Persons,named (unclassified),1,0,1,0,-1,-1
Ukraine Seeking Protection in Poland,named (unclassified),1,0,1,0,-1,-1
Industrial Police,named (unclassified),0,1,0,1,1,1
Prime Minister Paetongtarn Shinawatra,named (unclassified),0,1,0,1,1,1
Macedonian Young Lawyers Association (MYLA),named (unclassified),1,0,1,0,-1,-1
Shafaq News,named (unclassified),0,1,0,1,1,1
Employment Rights Tribunal,named (unclassified),0,1,0,1,1,1
President Vucic,named (unclassified),1,0,1,0,-1,-1
International Federation of Journalists,named (unclassified),1,0,1,0,-1,-1
Henrique Capriles Radonski,named (unclassified),1,0,1,0,-1,-1
In June HRW,named (unclassified),1,0,1,0,-1,-1
National Torture Preventive Mechanism (NPM),named (unclassified),1,0,1,0,-1,-1
NGO Access Now,named (unclassified),0,1,0,1,1,1
National Torture Prevention Mechanism Report,named (unclassified),1,0,1,0,-1,-1
Minister of Interior,named (unclassified),0,1,0,1,1,1
Terai Human Rights Defenders Alliance,named (unclassified),1,0,1,0,-1,-1
Freedom and Roam Uganda,named (unclassified),1,0,1,0,-1,-1
White Paper on Human Rights,named (unclassified),1,0,1,0,-1,-1
Virgil Ahouanse,named (unclassified),1,0,1,0,-1,-1
Irish Penal Reform Trust,named (unclassified),1,0,1,0,-1,-1
Human Rights Center in Somaliland,named (unclassified),1,0,1,0,-1,-1
Representative Council of Jewish Institutions in France,named (unclassified),0,1,0,1,1,1
Rights Korea,named (unclassified),1,0,1,0,-1,-1
Indigenous NGOs,named (unclassified),1,0,1,0,-1,-1
NGOs in Dagestan,named (unclassified),1,0,1,0,-1,-1
In March the Ombudsman,named (unclassified),1,0,1,0,-1,-1
Political Prisoners and Detainees NGOs,named (unclassified),1,0,1,0,-1,-1
Eyes Wide Open Foundation,named (unclassified),1,0,1,0,-1,-1
Sarajevo Open Centre (SOC),named (unclassified),1,0,1,0,-1,-1
Journalists Union,named (unclassified),0,1,0,1,1,1
SADC Gender Protocol Barometer,named (unclassified),1,0,1,0,-1,-1
Ministry of Human Resources and Emiratization,named (unclassified),1,0,1,0,-1,-1
Center for Advancement of Rights and Democracy (CARD),named (unclassified),0,1,0,1,1,1
Statistics Finland,named (unclassified),1,0,1,0,-1,-1
Israeli Committee Against House Demolitions,named (unclassified),1,0,1,0,-1,-1
While NGOs,named (unclassified),1,0,1,0,-1,-1
Roraima State Civil Police,named (unclassified),0,1,0,1,1,1
National Anticorruption Center,named (unclassified),1,0,1,0,-1,-1
Seafood Exporters Association of India,named (unclassified),0,1,0,1,1,1
Migrant Rights,named (unclassified),0,1,0,1,1,1
Defenders Coalition,named (unclassified),0,1,0,1,1,1
DAHAS PH,named (unclassified),0,1,0,1,1,1
Ravana Lanka News,named (unclassified),0,1,0,1,1,1
NGO Equality for All Foundation,named (unclassified),1,0,1,0,-1,-1
Moja Moja,named (unclassified),1,0,1,0,-1,-1
King Salman Humanitarian Aid and Relief Center,named (unclassified),0,1,0,1,1,1
Uganda Key Populations Consortium,named (unclassified),1,0,1,0,-1,-1
NGOs Wartani and Duayjai,named (unclassified),0,1,0,1,1,1
Center for Legal Information Cubalex,named (unclassified),0,1,0,1,1,1
Office Minister Gergely Gulyas,named (unclassified),1,0,1,0,-1,-1
NGO Sanad,named (unclassified),0,1,0,1,1,1
Independent National Electoral Commission,named (unclassified),1,0,1,0,-1,-1
Burma Human Rights Network,named (unclassified),1,0,1,0,-1,-1
Human Rights Commission (HRC),named (unclassified),1,0,1,0,-1,-1
Kyrgyz Indigo,named (unclassified),1,0,1,0,-1,-1
U.S.-based Corporate Accountability Lab,named (unclassified),0,1,0,1,1,1
Cambodia Demographic and Health Survey,named (unclassified),0,1,0,1,1,1
Database Center for North Korean Human Rights,named (unclassified),0,1,0,1,1,1
Syria Direct,named (unclassified),1,0,1,0,-1,-1
Asia Pacific Resource and Research Centre for Women,named (unclassified),1,0,1,0,-1,-1
National Survey on Discrimination,named (unclassified),1,0,1,0,-1,-1
Syrians for Truth and Justice,named (unclassified),1,0,1,0,-1,-1
Nigerien Bar Association,named (unclassified),0,1,0,1,1,1
NGO Inclusion Handicap,named (unclassified),1,0,1,0,-1,-1
Caucasus Heritage Watch,named (unclassified),0,1,0,1,1,1
Sint Maarten,named (unclassified),1,0,1,0,-1,-1
NGO Diverse Voices and Action for Equality,named (unclassified),1,0,1,0,-1,-1
Minority Rights Group International,named (unclassified),1,0,1,0,-1,-1
Brazilian Institute of Geography and Statistics,named (unclassified),1,0,1,0,-1,-1
Megaphone News,named (unclassified),1,0,1,0,-1,-1
Gazette du Golfe Chief Executive Officer Ismael Soumanou,named (unclassified),0,1,0,1,1,1
NGO End Blasphemy Laws,named (unclassified),0,1,0,1,1,1
State Security Service of Georgia (SSSG),named (unclassified),1,0,1,0,-1,-1
Inter-American Court of Human Rights,named (unclassified),1,0,1,0,-1,-1
NGOs in Western Sahara,named (unclassified),1,0,1,0,-1,-1
Legal and Social Sciences Research Conclave,named (unclassified),1,0,1,0,-1,-1
Shahlo Davlatova,named (unclassified),1,0,1,0,-1,-1
In March Erasmus University,named (unclassified),1,0,1,0,-1,-1
Econômico Valor,named (unclassified),0,1,0,1,1,1
A July EU Rule of Law Report,named (unclassified),0,1,0,1,1,1
Some POWs,named (unclassified),0,1,0,1,1,1
Minority Rights Group,named (unclassified),1,0,1,0,-1,-1
UN Integrated Office in Haiti (BINUH),named (unclassified),1,0,1,0,-1,-1
In February the Labor Inspectorate,named (unclassified),1,0,1,0,-1,-1
Lawyers and NGOs,named (unclassified),1,0,1,0,-1,-1
Commissioner for Refugees,named (unclassified),1,0,1,0,-1,-1
Safety and Security,named (unclassified),1,0,1,0,-1,-1
OHCHR UN Human Rights Monitoring Mission in Ukraine (HRMMU),named (unclassified),0,1,0,1,1,1
Algerian Society of Fertility and Contraception,named (unclassified),1,0,1,0,-1,-1
EU EOM,named (unclassified),1,0,1,0,-1,-1
Court in Kyiv,named (unclassified),1,0,1,0,-1,-1
NGO Public Committee Against Torture in Israel (PCATI),named (unclassified),1,0,1,0,-1,-1
UN Security Council Panel of Experts on Yemen,named (unclassified),1,0,1,0,-1,-1
Children First Canada in August,named (unclassified),1,0,1,0,-1,-1
Roderson Elias,named (unclassified),1,0,1,0,-1,-1
In April RFA,named (unclassified),2,1,1,1,-1,0
NGOs and HRCSL,named (unclassified),1,0,1,0,-1,-1
Namibian Employers,named (unclassified),1,0,1,0,-1,-1
Center for Human Rights and Development,named (unclassified),1,0,1,0,-1,-1
In May the Larnaca District Court,named (unclassified),1,0,1,0,-1,-1
Red Cross (ICRC),named (unclassified),2,1,2,1,-1,-1
Refugees and NGOs,named (unclassified),1,0,1,0,-1,-1
Dina Yegeubaeva,named (unclassified),1,0,1,0,-1,-1
Radio Free Asia (RFA),named (unclassified),0,1,0,1,1,1
APES Center for Monitoring Attacks on Journalists,named (unclassified),1,0,1,0,-1,-1
Inspector of Ethics of Journalists,named (unclassified),1,0,1,0,-1,-1
UN Fact-Finding Mission,named (unclassified),0,1,0,1,1,1
Justice Officials,named (unclassified),0,1,0,1,1,1
Palestinian Journalists Syndicate,named (unclassified),1,0,1,0,-1,-1
Buenos Aires,named (unclassified),1,0,1,0,-1,-1
National Election Committee,named (unclassified),1,0,1,0,-1,-1
NGOs in Aruba and Curaçao,named (unclassified),1,0,1,0,-1,-1
Directorate General of National Security (DGSN),named (unclassified),1,0,1,0,-1,-1
National Human Rights Defense Network,named (unclassified),0,1,0,1,1,1
NGO Zimbabwe Lawyers for Human Rights,named (unclassified),0,1,0,1,1,1
National Statistical Institute (INEGI),named (unclassified),1,0,1,0,-1,-1
Rights Protection Network (RPN),named (unclassified),1,0,1,0,-1,-1
Jerusalem Municipality,named (unclassified),1,0,1,0,-1,-1
Rebel Groups Journalists and NGOs,named (unclassified),0,1,0,1,1,1
Emir Suljagic,named (unclassified),1,0,1,0,-1,-1
Ethiopian Jews,named (unclassified),1,0,1,0,-1,-1
Corruption Watch,named (unclassified),1,0,1,0,-1,-1
University of Toronto,named (unclassified),0,1,0,1,1,1
Comprehensive Action Group Against Antipersonnel Mines,named (unclassified),1,0,1,0,-1,-1
International Press Institute,named (unclassified),1,0,1,0,-1,-1
Center and Centro de Derechos Humanos Miguel Agustin Pro Juarez,named (unclassified),0,1,0,1,1,1
Radio Ozodi,named (unclassified),1,0,1,0,-1,-1
Gays and Lesbians of Zimbabwe (GALZ),named (unclassified),1,0,1,0,-1,-1
NGO Social Justice Center (SJC),named (unclassified),0,1,0,1,1,1
NGO Galop,named (unclassified),1,0,1,0,-1,-1
Beninese Association for Social Marketing,named (unclassified),1,0,1,0,-1,-1
Tripoli-based ISA,named (unclassified),0,1,0,1,1,1
Belize City,named (unclassified),1,0,1,0,-1,-1
Cabinet Office,named (unclassified),1,0,1,0,-1,-1
Transparency Maldives,named (unclassified),1,0,1,0,-1,-1
NGO PINK Embassy,named (unclassified),1,0,1,0,-1,-1
Prison and Detention Center Conditions Observers,named (unclassified),1,0,1,0,-1,-1
Abdul Hadi Awang,named (unclassified),1,0,1,0,-1,-1
Department of State,named (unclassified),0,1,0,1,1,1
Straits Times,named (unclassified),1,0,1,0,-1,-1
Streha and Alliance Against Discrimination of LGBT,named (unclassified),1,0,1,0,-1,-1
Republic of Armenia,named (unclassified),1,0,1,0,-1,-1
NGO Association for HIV (HUHIV),named (unclassified),1,0,1,0,-1,-1
In July the High Court,named (unclassified),1,0,1,0,-1,-1
Prohibition of Chemical Weapons,named (unclassified),0,1,0,1,1,1
National Population Council,named (unclassified),1,0,1,0,-1,-1
Association of Journalists of El Salvador (APES),named (unclassified),1,0,1,0,-1,-1
Georgian Progressive Forum,named (unclassified),0,1,0,1,1,1
